Activity,DietPreference,SleepHours,Age,RecommendedDiet
Low,Vegan,4.6,50,Balanced
High,Non-Veg,5.3,29,Balanced
Medium,Non-Veg,6.2,62,Mediterranean
Medium,Non-Veg,8.2,29,Mediterranean
Low,Veg,6.3,36,Balanced
Medium,Vegan,7.4,26,Balanced
Medium,Veg,7.2,27,Balanced
Medium,Non-Veg,7.7,34,Mediterranean
Medium,Non-Veg,5.4,67,Mediterranean
Low,Vegan,8.6,57,Balanced
Low,Veg,4.9,56,Balanced
High,Non-Veg,6.3,58,Balanced
Medium,Vegan,7.0,27,Balanced
High,Veg,8.1,29,Balanced
Low,Veg,9.1,32,Balanced
Low,Non-Veg,8.2,48,Low Carb
Low,Non-Veg,9.1,32,Low Carb
Low,Veg,5.8,45,Balanced
Low,Veg,8.8,21,Balanced
Low,Non-Veg,8.5,53,Low Carb
Low,Veg,4.0,18,Balanced
Medium,Non-Veg,6.7,61,Mediterranean
High,Veg,7.9,51,Balanced
Low,Non-Veg,6.2,64,Low Carb
Medium,Vegan,5.4,34,Balanced
Medium,Non-Veg,10.0,56,Mediterranean
High,Non-Veg,7.2,55,Balanced
Low,Vegan,7.2,61,Balanced
High,Veg,5.0,68,Balanced
Low,Vegan,6.1,50,Balanced
Medium,Non-Veg,5.7,38,Mediterranean
Medium,Veg,8.6,43,Balanced
Medium,Vegan,7.8,63,Balanced
Medium,Veg,6.1,53,Balanced
High,Veg,7.8,22,Balanced
Low,Vegan,6.6,50,Balanced
Low,Veg,7.4,18,Balanced
High,Vegan,7.3,23,High Protein
Low,Non-Veg,7.6,54,Low Carb
Medium,Veg,7.4,19,Balanced
Low,Non-Veg,7.6,22,Low Carb
Medium,Non-Veg,8.9,43,Mediterranean
High,Veg,8.0,58,Balanced
Low,Vegan,6.5,68,Balanced
High,Veg,6.9,64,Balanced
Low,Non-Veg,8.8,30,Low Carb
Medium,Non-Veg,7.2,29,Mediterranean
High,Vegan,6.4,22,High Protein
Low,Veg,6.1,19,Balanced
Medium,Non-Veg,7.4,21,Mediterranean
High,Non-Veg,5.7,44,Balanced
High,Non-Veg,8.9,67,Balanced
Low,Vegan,5.4,27,Balanced
Low,Non-Veg,9.2,30,Low Carb
Low,Non-Veg,6.6,61,Low Carb
Medium,Veg,5.4,19,Balanced
Low,Veg,7.3,43,Balanced
High,Non-Veg,5.6,32,Balanced
High,Non-Veg,7.1,63,Balanced
Low,Veg,6.1,27,Balanced
Low,Vegan,8.4,39,Balanced
High,Vegan,7.2,57,High Protein
Medium,Vegan,5.2,42,Balanced
Low,Vegan,6.1,32,Balanced
Low,Vegan,8.1,30,Balanced
High,Vegan,8.9,25,High Protein
Low,Vegan,6.9,38,Balanced
Medium,Vegan,5.4,38,Balanced
High,Veg,8.6,39,Balanced
Low,Vegan,8.1,63,Balanced
High,Vegan,9.0,50,High Protein
Low,Vegan,7.4,62,Balanced
Low,Non-Veg,6.2,44,Low Carb
Low,Veg,7.8,57,Balanced
Medium,Veg,7.5,67,Balanced
Medium,Veg,6.1,39,Balanced
High,Vegan,7.3,47,High Protein
Low,Vegan,6.7,26,Balanced
Low,Non-Veg,8.1,62,Low Carb
Medium,Veg,7.7,52,Balanced
Low,Vegan,5.4,35,Balanced
Medium,Veg,5.3,59,Balanced
Low,Non-Veg,6.9,22,Low Carb
High,Non-Veg,7.0,44,Balanced
Low,Non-Veg,8.1,23,Low Carb
Low,Veg,7.8,49,Balanced
Medium,Vegan,9.2,25,Balanced
Low,Vegan,6.3,56,Balanced
Low,Non-Veg,6.2,38,Low Carb
Medium,Vegan,5.6,35,Balanced
High,Non-Veg,8.1,31,Balanced
High,Veg,7.0,32,Balanced
Medium,Non-Veg,4.2,59,Mediterranean
Medium,Veg,7.3,43,Balanced
Medium,Non-Veg,7.4,61,Mediterranean
Medium,Vegan,6.8,49,Balanced
Medium,Vegan,7.4,56,Balanced
High,Non-Veg,5.2,45,Balanced
High,Vegan,9.5,56,High Protein
Medium,Vegan,7.6,60,Balanced
Low,Vegan,4.3,49,Balanced
Medium,Veg,7.0,30,Balanced
Low,Vegan,7.6,32,Balanced
Medium,Veg,5.3,35,Balanced
Medium,Non-Veg,7.8,56,Mediterranean
High,Vegan,9.5,23,High Protein
Low,Vegan,6.0,28,Balanced
Low,Vegan,7.6,49,Balanced
High,Non-Veg,7.3,57,Balanced
High,Veg,8.5,37,Balanced
High,Veg,6.8,50,Balanced
High,Vegan,5.4,57,High Protein
Low,Non-Veg,8.4,25,Low Carb
Low,Non-Veg,5.5,68,Low Carb
Medium,Non-Veg,9.7,52,Mediterranean
Medium,Non-Veg,7.8,22,Mediterranean
High,Non-Veg,6.1,52,Balanced
High,Veg,8.7,64,Balanced
High,Veg,7.0,31,Balanced
Medium,Veg,6.7,38,Balanced
Medium,Vegan,6.0,64,Balanced
Medium,Non-Veg,4.2,41,Mediterranean
Medium,Vegan,7.9,34,Balanced
Medium,Non-Veg,4.6,35,Mediterranean
Medium,Veg,5.8,51,Balanced
Medium,Vegan,7.6,29,Balanced
High,Veg,6.2,33,Balanced
High,Non-Veg,7.2,21,Balanced
High,Non-Veg,5.2,42,Balanced
High,Non-Veg,6.5,51,Balanced
Medium,Veg,7.2,45,Balanced
Low,Non-Veg,5.6,63,Low Carb
Medium,Veg,9.5,28,Balanced
Low,Vegan,6.0,30,Balanced
High,Non-Veg,9.1,48,Balanced
Medium,Non-Veg,6.7,42,Mediterranean
High,Non-Veg,4.6,56,Balanced
Medium,Vegan,5.3,27,Balanced
High,Non-Veg,7.3,41,Balanced
Low,Veg,8.5,18,Balanced
Low,Veg,9.7,42,Balanced
Low,Non-Veg,7.2,45,Low Carb
Medium,Non-Veg,5.2,53,Mediterranean
Low,Vegan,7.4,35,Balanced
Medium,Vegan,5.8,23,Balanced
Low,Vegan,7.6,19,Balanced
Low,Non-Veg,5.6,20,Low Carb
Medium,Vegan,4.0,63,Balanced
Medium,Vegan,9.0,25,Balanced
Low,Veg,6.7,48,Balanced
Medium,Vegan,7.1,65,Balanced
Low,Veg,8.5,36,Balanced
Medium,Veg,9.8,67,Balanced
High,Vegan,8.1,23,High Protein
High,Veg,7.2,31,Balanced
High,Non-Veg,7.7,20,Balanced
High,Non-Veg,6.6,65,Balanced
High,Vegan,7.1,18,High Protein
Low,Non-Veg,7.2,61,Low Carb
High,Veg,5.8,47,Balanced
High,Non-Veg,7.0,63,Balanced
High,Vegan,7.6,36,High Protein
High,Vegan,7.8,36,High Protein
Medium,Veg,7.7,26,Balanced
Low,Vegan,5.0,24,Balanced
High,Non-Veg,8.8,63,Balanced
High,Vegan,8.7,54,High Protein
High,Veg,6.9,67,Balanced
Low,Vegan,7.7,58,Balanced
Medium,Non-Veg,6.7,24,Mediterranean
Low,Veg,8.1,26,Balanced
Medium,Non-Veg,5.8,21,Mediterranean
High,Veg,9.0,42,Balanced
High,Vegan,8.1,66,High Protein
Low,Veg,8.1,29,Balanced
Low,Veg,6.8,23,Balanced
Medium,Vegan,4.9,35,Balanced
Medium,Non-Veg,8.3,57,Mediterranean
Low,Vegan,4.9,38,Balanced
Medium,Veg,8.3,32,Balanced
Low,Vegan,5.8,20,Balanced
Medium,Veg,4.6,19,Balanced
Low,Vegan,7.0,58,Balanced
Low,Vegan,8.8,57,Balanced
Low,Non-Veg,5.6,21,Low Carb
Medium,Veg,9.4,49,Balanced
Medium,Non-Veg,8.0,19,Mediterranean
Medium,Veg,7.2,63,Balanced
Low,Vegan,6.3,46,Balanced
Medium,Veg,6.5,19,Balanced
Medium,Non-Veg,7.6,51,Mediterranean
Low,Non-Veg,8.3,44,Low Carb
High,Non-Veg,6.1,56,Balanced
Low,Veg,5.8,61,Balanced
Medium,Non-Veg,6.7,55,Mediterranean
Low,Non-Veg,9.1,35,Low Carb
High,Non-Veg,5.2,53,Balanced
Low,Vegan,8.7,36,Balanced
Medium,Vegan,7.1,44,Balanced
High,Veg,4.5,62,Balanced
Medium,Veg,6.3,37,Balanced
High,Non-Veg,7.9,38,Balanced
High,Vegan,9.7,40,High Protein
Low,Non-Veg,5.0,47,Low Carb
Low,Non-Veg,4.0,42,Low Carb
Medium,Vegan,5.0,48,Balanced
Low,Vegan,8.7,44,Balanced
Low,Vegan,4.3,51,Balanced
High,Veg,9.2,25,Balanced
Low,Veg,8.8,36,Balanced
High,Non-Veg,7.3,58,Balanced
High,Veg,6.1,43,Balanced
High,Vegan,7.1,45,High Protein
Medium,Vegan,7.9,21,Balanced
Medium,Veg,7.7,48,Balanced
Medium,Non-Veg,9.6,33,Mediterranean
High,Non-Veg,6.6,68,Balanced
Medium,Veg,5.0,27,Balanced
Medium,Non-Veg,4.8,55,Mediterranean
Low,Non-Veg,4.5,65,Low Carb
Medium,Non-Veg,7.3,27,Mediterranean
Medium,Vegan,6.6,62,Balanced
High,Vegan,7.0,26,High Protein
High,Veg,6.2,56,Balanced
High,Vegan,5.3,53,High Protein
High,Non-Veg,7.9,68,Balanced
High,Vegan,4.0,53,High Protein
High,Veg,5.8,36,Balanced
Medium,Vegan,8.2,36,Balanced
High,Non-Veg,5.6,29,Balanced
High,Non-Veg,7.6,30,Balanced
Low,Veg,5.8,42,Balanced
Medium,Vegan,6.3,53,Balanced
Medium,Vegan,7.9,42,Balanced
Medium,Vegan,5.1,45,Balanced
High,Non-Veg,8.1,59,Balanced
High,Veg,7.1,56,Balanced
High,Vegan,8.9,47,High Protein
Low,Non-Veg,7.3,22,Low Carb
High,Non-Veg,5.4,34,Balanced
Low,Non-Veg,9.6,35,Low Carb
Medium,Vegan,5.5,60,Balanced
High,Vegan,6.7,64,High Protein
Low,Vegan,8.4,38,Balanced
Low,Vegan,4.2,39,Balanced
High,Vegan,9.2,56,High Protein
Medium,Vegan,5.3,67,Balanced
Medium,Vegan,6.3,23,Balanced
Medium,Vegan,7.4,67,Balanced
Low,Vegan,6.9,33,Balanced
Low,Non-Veg,8.2,19,Low Carb
Low,Vegan,4.6,68,Balanced
Low,Veg,8.1,18,Balanced
Medium,Non-Veg,8.2,47,Mediterranean
High,Vegan,8.5,60,High Protein
Low,Veg,4.6,69,Balanced
Low,Vegan,4.8,54,Balanced
Medium,Veg,6.5,65,Balanced
High,Veg,5.0,40,Balanced
High,Veg,4.3,18,Balanced
Medium,Veg,6.4,36,Balanced
Medium,Non-Veg,7.4,63,Mediterranean
High,Non-Veg,10.0,20,Balanced
Low,Veg,7.8,19,Balanced
High,Vegan,9.6,54,High Protein
Medium,Veg,6.9,34,Balanced
Low,Non-Veg,7.8,45,Low Carb
Low,Vegan,6.8,35,Balanced
Medium,Non-Veg,10.0,50,Mediterranean
Medium,Non-Veg,6.0,32,Mediterranean
Medium,Vegan,6.2,39,Balanced
High,Veg,8.2,58,Balanced
High,Veg,7.3,44,Balanced
Low,Veg,6.4,54,Balanced
Medium,Veg,8.4,49,Balanced
Low,Vegan,6.9,62,Balanced
Low,Vegan,6.9,36,Balanced
Low,Vegan,7.3,45,Balanced
Low,Non-Veg,4.4,45,Low Carb
Medium,Vegan,4.6,27,Balanced
Low,Veg,8.6,37,Balanced
Medium,Non-Veg,6.0,42,Mediterranean
Medium,Veg,6.8,38,Balanced
High,Veg,9.4,31,Balanced
Medium,Vegan,6.9,39,Balanced
High,Vegan,6.7,43,High Protein
Medium,Veg,8.3,61,Balanced
Medium,Veg,6.1,28,Balanced
Medium,Non-Veg,8.8,24,Mediterranean
High,Vegan,8.3,34,High Protein
High,Non-Veg,9.7,35,Balanced
Low,Non-Veg,6.0,24,Low Carb
High,Non-Veg,9.1,37,Balanced
High,Veg,7.8,55,Balanced
High,Non-Veg,5.0,28,Balanced
High,Non-Veg,4.0,61,Balanced
Low,Veg,5.8,33,Balanced
High,Vegan,7.4,68,High Protein
Medium,Vegan,7.7,44,Balanced
Medium,Non-Veg,6.9,68,Mediterranean
High,Veg,6.9,28,Balanced
High,Vegan,6.8,33,High Protein
Medium,Non-Veg,8.5,40,Mediterranean
Medium,Non-Veg,4.8,29,Mediterranean
Low,Veg,7.4,57,Balanced
Medium,Non-Veg,5.8,20,Mediterranean
Medium,Vegan,5.6,19,Balanced
High,Veg,8.8,55,Balanced
Medium,Vegan,5.5,65,Balanced
Low,Vegan,6.8,69,Balanced
Medium,Vegan,9.9,41,Balanced
High,Non-Veg,8.3,46,Balanced
High,Non-Veg,6.3,64,Balanced
Medium,Vegan,6.4,63,Balanced
High,Vegan,5.2,51,High Protein
Low,Veg,9.0,37,Balanced
Low,Veg,8.5,35,Balanced
Medium,Non-Veg,8.0,31,Mediterranean
Medium,Non-Veg,8.2,35,Mediterranean
Medium,Veg,5.8,19,Balanced
High,Vegan,4.7,18,High Protein
Low,Non-Veg,7.8,37,Low Carb
Low,Vegan,8.3,51,Balanced
High,Veg,9.4,58,Balanced
Low,Non-Veg,6.7,58,Low Carb
Medium,Non-Veg,6.5,65,Mediterranean
Medium,Veg,6.6,28,Balanced
Medium,Non-Veg,8.0,44,Mediterranean
Low,Veg,6.6,40,Balanced
Medium,Non-Veg,6.9,55,Mediterranean
High,Veg,8.2,61,Balanced
High,Non-Veg,6.1,20,Balanced
Low,Vegan,9.1,29,Balanced
High,Vegan,7.9,47,High Protein
High,Vegan,4.2,48,High Protein
Low,Non-Veg,6.2,40,Low Carb
Medium,Non-Veg,4.0,18,Mediterranean
Medium,Vegan,6.7,58,Balanced
Medium,Vegan,6.3,37,Balanced
Low,Veg,8.3,23,Balanced
High,Veg,5.7,28,Balanced
Medium,Veg,7.6,52,Balanced
Medium,Vegan,7.9,21,Balanced
Low,Vegan,7.4,46,Balanced
Medium,Vegan,8.7,27,Balanced
Low,Veg,10.0,68,Balanced
High,Non-Veg,7.2,46,Balanced
Low,Vegan,7.6,55,Balanced
Low,Non-Veg,5.7,18,Low Carb
Low,Non-Veg,5.5,57,Low Carb
Low,Non-Veg,8.6,25,Low Carb
High,Veg,8.4,55,Balanced
High,Non-Veg,5.5,34,Balanced
Medium,Vegan,5.0,36,Balanced
High,Veg,6.0,50,Balanced
High,Vegan,6.8,32,High Protein
Medium,Vegan,6.4,62,Balanced
High,Veg,7.2,48,Balanced
Low,Vegan,8.4,38,Balanced
Low,Vegan,7.7,20,Balanced
Medium,Veg,7.8,19,Balanced
Medium,Vegan,4.0,52,Balanced
Medium,Non-Veg,4.6,58,Mediterranean
Low,Vegan,5.8,33,Balanced
High,Non-Veg,6.1,62,Balanced
Low,Vegan,8.3,68,Balanced
Medium,Veg,5.7,67,Balanced
High,Veg,8.0,38,Balanced
High,Vegan,5.8,29,High Protein
Low,Veg,5.2,45,Balanced
Medium,Vegan,5.3,29,Balanced
Low,Veg,10.0,50,Balanced
High,Non-Veg,5.8,37,Balanced
Low,Vegan,8.0,57,Balanced
Low,Non-Veg,4.7,66,Low Carb
Medium,Non-Veg,9.1,38,Mediterranean
Medium,Vegan,7.5,69,Balanced
High,Non-Veg,7.4,56,Balanced
Low,Vegan,7.6,58,Balanced
Low,Non-Veg,7.8,66,Low Carb
Low,Vegan,8.2,59,Balanced
High,Vegan,6.1,53,High Protein
High,Veg,6.0,39,Balanced
Medium,Vegan,7.1,43,Balanced
Medium,Vegan,8.0,24,Balanced
Medium,Non-Veg,6.9,24,Mediterranean
Low,Vegan,8.2,25,Balanced
Low,Veg,7.9,43,Balanced
Medium,Non-Veg,6.7,41,Mediterranean
Low,Non-Veg,4.4,41,Low Carb
Medium,Veg,6.2,57,Balanced
High,Non-Veg,9.6,65,Balanced
Medium,Non-Veg,7.5,29,Mediterranean
High,Non-Veg,6.0,64,Balanced
Low,Non-Veg,7.4,25,Low Carb
Medium,Veg,8.0,26,Balanced
Low,Veg,6.0,20,Balanced
High,Non-Veg,8.9,38,Balanced
High,Non-Veg,7.7,48,Balanced
High,Veg,5.4,65,Balanced
Low,Veg,8.3,64,Balanced
Low,Veg,6.4,41,Balanced
Low,Non-Veg,6.7,21,Low Carb
Low,Non-Veg,5.5,37,Low Carb
High,Vegan,7.9,33,High Protein
High,Veg,6.8,27,Balanced
Medium,Non-Veg,8.0,60,Mediterranean
Medium,Veg,6.2,43,Balanced
Low,Non-Veg,6.0,46,Low Carb
High,Veg,5.9,22,Balanced
High,Non-Veg,7.6,28,Balanced
High,Vegan,6.0,46,High Protein
Medium,Vegan,6.7,62,Balanced
Medium,Veg,6.2,32,Balanced
High,Non-Veg,7.7,23,Balanced
High,Non-Veg,4.4,65,Balanced
High,Veg,7.4,32,Balanced
Medium,Non-Veg,9.6,60,Mediterranean
High,Veg,8.9,37,Balanced
High,Non-Veg,6.1,51,Balanced
Low,Veg,7.7,19,Balanced
Low,Non-Veg,7.5,61,Low Carb
Medium,Veg,9.2,33,Balanced
High,Non-Veg,4.0,36,Balanced
High,Vegan,8.7,51,High Protein
Low,Non-Veg,6.6,66,Low Carb
Medium,Veg,5.9,31,Balanced
Low,Vegan,5.8,41,Balanced
Low,Non-Veg,5.1,45,Low Carb
Low,Vegan,6.1,65,Balanced
Low,Non-Veg,5.4,49,Low Carb
High,Vegan,7.3,54,High Protein
High,Veg,7.9,27,Balanced
Low,Non-Veg,6.6,66,Low Carb
Medium,Non-Veg,9.2,62,Mediterranean
Medium,Veg,6.2,65,Balanced
Medium,Vegan,6.5,26,Balanced
Medium,Veg,6.3,41,Balanced
Low,Veg,7.9,53,Balanced
High,Vegan,8.0,46,High Protein
Medium,Veg,7.7,46,Balanced
Low,Non-Veg,6.8,65,Low Carb
Medium,Non-Veg,5.0,40,Mediterranean
Medium,Non-Veg,6.5,44,Mediterranean
Low,Veg,9.2,48,Balanced
High,Non-Veg,8.5,60,Balanced
High,Non-Veg,7.4,24,Balanced
Low,Non-Veg,6.4,66,Low Carb
High,Non-Veg,7.0,62,Balanced
Low,Non-Veg,6.4,21,Low Carb
Low,Non-Veg,8.8,31,Low Carb
Low,Veg,5.7,59,Balanced
High,Non-Veg,8.4,59,Balanced
Low,Non-Veg,6.2,27,Low Carb
Medium,Vegan,9.0,61,Balanced
High,Veg,7.6,51,Balanced
High,Veg,5.9,43,Balanced
High,Veg,6.5,40,Balanced
High,Veg,8.1,26,Balanced
Medium,Non-Veg,6.3,54,Mediterranean
High,Non-Veg,7.0,25,Balanced
High,Vegan,6.2,31,High Protein
Low,Vegan,9.6,24,Balanced
High,Veg,9.9,24,Balanced
Medium,Vegan,9.2,26,Balanced
Medium,Vegan,6.8,20,Balanced
Medium,Veg,6.4,31,Balanced
Medium,Veg,5.8,34,Balanced
High,Vegan,9.3,67,High Protein
High,Non-Veg,8.4,61,Balanced
Medium,Vegan,8.5,39,Balanced
Medium,Vegan,6.6,63,Balanced
High,Non-Veg,4.4,43,Balanced
Medium,Non-Veg,4.7,45,Mediterranean
Low,Veg,7.1,62,Balanced
Medium,Veg,6.2,31,Balanced
Medium,Vegan,6.0,26,Balanced
Low,Non-Veg,7.5,68,Low Carb
Low,Veg,8.5,43,Balanced
High,Vegan,5.9,19,High Protein
High,Non-Veg,5.0,28,Balanced
Low,Vegan,6.0,34,Balanced
Low,Veg,5.4,51,Balanced
High,Veg,7.9,36,Balanced
Medium,Non-Veg,7.0,56,Mediterranean
Low,Vegan,9.8,35,Balanced
High,Non-Veg,8.1,30,Balanced
Medium,Veg,9.7,22,Balanced
Low,Veg,4.9,67,Balanced
Medium,Vegan,4.0,40,Balanced
High,Vegan,7.4,41,High Protein
Low,Vegan,7.2,46,Balanced
Medium,Non-Veg,6.8,65,Mediterranean
Low,Vegan,7.1,64,Balanced
Medium,Vegan,5.3,25,Balanced
High,Veg,7.8,43,Balanced
High,Veg,8.1,32,Balanced
Low,Vegan,5.2,18,Balanced
Medium,Vegan,6.5,45,Balanced
Low,Veg,6.6,66,Balanced
Low,Vegan,6.0,64,Balanced
Medium,Non-Veg,5.3,63,Mediterranean
Medium,Non-Veg,7.0,31,Mediterranean
Medium,Non-Veg,7.4,59,Mediterranean
High,Vegan,6.1,51,High Protein
Low,Veg,5.4,48,Balanced
Low,Vegan,7.6,23,Balanced
High,Vegan,5.8,66,High Protein
Medium,Veg,6.5,22,Balanced
High,Veg,6.3,48,Balanced
High,Veg,8.9,54,Balanced
High,Non-Veg,5.9,32,Balanced
Low,Vegan,9.6,32,Balanced
High,Veg,8.1,69,Balanced
Low,Vegan,9.7,60,Balanced
Low,Non-Veg,8.0,22,Low Carb
Low,Non-Veg,6.7,45,Low Carb
Medium,Veg,5.6,50,Balanced
Low,Veg,6.5,28,Balanced
Low,Vegan,9.2,60,Balanced
Medium,Veg,6.9,23,Balanced
Low,Vegan,8.0,40,Balanced
High,Veg,7.3,57,Balanced
High,Vegan,7.4,19,High Protein
Low,Vegan,7.4,32,Balanced
Medium,Vegan,7.7,40,Balanced
High,Vegan,5.8,39,High Protein
Medium,Non-Veg,6.6,26,Mediterranean
Medium,Vegan,7.5,64,Balanced
High,Veg,7.2,57,Balanced
Medium,Non-Veg,6.3,47,Mediterranean
High,Non-Veg,7.6,33,Balanced
Medium,Vegan,5.8,63,Balanced
High,Non-Veg,5.2,64,Balanced
Low,Vegan,7.4,69,Balanced
High,Veg,5.2,47,Balanced
High,Vegan,7.4,62,High Protein
High,Non-Veg,4.1,26,Balanced
High,Veg,5.9,18,Balanced
Medium,Vegan,6.5,55,Balanced
Low,Veg,4.6,25,Balanced
High,Veg,6.4,69,Balanced
Medium,Non-Veg,8.8,35,Mediterranean
Low,Veg,5.1,44,Balanced
Low,Non-Veg,6.5,35,Low Carb
Low,Veg,9.6,49,Balanced
Low,Vegan,5.4,66,Balanced
High,Veg,9.1,49,Balanced
High,Vegan,6.6,65,High Protein
Medium,Vegan,7.2,62,Balanced
Medium,Veg,8.9,53,Balanced
Medium,Vegan,6.3,53,Balanced
Low,Veg,7.9,38,Balanced
Low,Veg,8.3,63,Balanced
High,Vegan,6.0,49,High Protein
Low,Vegan,5.9,48,Balanced
Low,Non-Veg,6.7,54,Low Carb
Low,Vegan,6.7,33,Balanced
Medium,Non-Veg,5.4,63,Mediterranean
Medium,Vegan,6.0,63,Balanced
High,Veg,4.0,31,Balanced
Low,Vegan,6.5,41,Balanced
Low,Veg,8.3,42,Balanced
High,Veg,4.5,63,Balanced
Low,Veg,6.3,68,Balanced
Low,Non-Veg,10.0,52,Low Carb
Medium,Vegan,7.0,34,Balanced
High,Veg,9.0,63,Balanced
High,Veg,5.5,59,Balanced
High,Non-Veg,7.7,62,Balanced
High,Vegan,5.2,21,High Protein
Medium,Vegan,7.6,28,Balanced
Medium,Non-Veg,8.3,64,Mediterranean
Low,Non-Veg,7.9,32,Low Carb
Low,Vegan,6.5,47,Balanced
Low,Non-Veg,7.4,41,Low Carb
Low,Vegan,7.4,19,Balanced
Medium,Vegan,8.0,60,Balanced
High,Veg,6.8,51,Balanced
Medium,Veg,8.4,40,Balanced
Low,Vegan,9.2,48,Balanced
Medium,Vegan,6.5,54,Balanced
High,Vegan,7.1,30,High Protein
High,Vegan,5.6,50,High Protein
Medium,Vegan,7.5,24,Balanced
Medium,Vegan,7.5,49,Balanced
Medium,Non-Veg,7.1,24,Mediterranean
Low,Vegan,7.2,59,Balanced
Medium,Non-Veg,9.9,55,Mediterranean
Medium,Non-Veg,4.0,69,Mediterranean
Medium,Vegan,6.3,61,Balanced
High,Vegan,6.5,30,High Protein
High,Non-Veg,9.2,41,Balanced
Low,Non-Veg,7.7,45,Low Carb
Low,Vegan,7.7,49,Balanced
High,Vegan,8.9,60,High Protein
High,Non-Veg,6.7,35,Balanced
High,Non-Veg,8.0,51,Balanced
Medium,Non-Veg,6.2,65,Mediterranean
Medium,Veg,5.4,51,Balanced
High,Non-Veg,9.7,68,Balanced
Medium,Veg,7.6,55,Balanced
Medium,Vegan,8.0,18,Balanced
Low,Vegan,5.4,60,Balanced
High,Non-Veg,7.8,67,Balanced
High,Vegan,9.7,59,High Protein
Medium,Vegan,6.6,48,Balanced
High,Vegan,5.1,67,High Protein
Low,Vegan,7.3,18,Balanced
Low,Veg,5.4,68,Balanced
Low,Veg,4.7,33,Balanced
High,Non-Veg,5.9,56,Balanced
High,Non-Veg,6.3,32,Balanced
High,Non-Veg,5.5,50,Balanced
High,Vegan,9.0,40,High Protein
High,Vegan,9.8,58,High Protein
Low,Veg,7.9,51,Balanced
Medium,Veg,7.6,34,Balanced
Low,Non-Veg,6.8,42,Low Carb
High,Veg,5.7,59,Balanced
Low,Veg,9.4,23,Balanced
High,Veg,6.9,48,Balanced
High,Veg,6.3,22,Balanced
Low,Veg,8.5,57,Balanced
High,Non-Veg,6.9,57,Balanced
Medium,Non-Veg,8.5,47,Mediterranean
High,Veg,6.4,22,Balanced
Medium,Non-Veg,8.5,29,Mediterranean
Medium,Vegan,8.5,24,Balanced
High,Veg,9.0,62,Balanced
Low,Vegan,5.9,30,Balanced
Medium,Non-Veg,6.9,66,Mediterranean
Low,Non-Veg,9.9,21,Low Carb
Medium,Vegan,6.6,67,Balanced
High,Non-Veg,8.2,59,Balanced
High,Veg,10.0,20,Balanced
Medium,Vegan,4.2,29,Balanced
High,Veg,6.6,18,Balanced
Medium,Vegan,7.0,44,Balanced
High,Non-Veg,4.3,60,Balanced
Low,Vegan,6.3,67,Balanced
High,Vegan,5.5,30,High Protein
Low,Veg,8.3,34,Balanced
High,Non-Veg,4.4,25,Balanced
Low,Veg,9.8,49,Balanced
High,Non-Veg,8.0,37,Balanced
Low,Veg,5.4,68,Balanced
Medium,Vegan,8.5,34,Balanced
Medium,Veg,7.9,51,Balanced
Low,Non-Veg,6.9,52,Low Carb
High,Non-Veg,5.9,52,Balanced
Low,Vegan,7.8,55,Balanced
High,Non-Veg,7.2,59,Balanced
Medium,Veg,6.0,41,Balanced
High,Vegan,5.0,35,High Protein
Medium,Non-Veg,5.7,67,Mediterranean
High,Non-Veg,6.2,63,Balanced
High,Veg,8.7,65,Balanced
High,Veg,8.3,56,Balanced
Low,Vegan,6.3,50,Balanced
Low,Non-Veg,6.4,66,Low Carb
Medium,Veg,8.5,40,Balanced
Medium,Vegan,7.4,42,Balanced
Low,Non-Veg,7.4,54,Low Carb
Medium,Non-Veg,5.9,44,Mediterranean
Low,Vegan,6.8,18,Balanced
High,Vegan,7.0,38,High Protein
Medium,Veg,6.9,66,Balanced
Medium,Non-Veg,8.1,27,Mediterranean
Low,Non-Veg,8.1,48,Low Carb
Medium,Non-Veg,5.6,61,Mediterranean
Medium,Vegan,6.2,42,Balanced
High,Veg,6.0,37,Balanced
Medium,Non-Veg,9.1,19,Mediterranean
High,Vegan,10.0,65,High Protein
Low,Non-Veg,6.3,32,Low Carb
Medium,Veg,6.7,45,Balanced
High,Non-Veg,8.3,30,Balanced
Low,Veg,5.9,67,Balanced
Medium,Veg,8.3,69,Balanced
Low,Non-Veg,7.0,31,Low Carb
Medium,Non-Veg,4.4,67,Mediterranean
Low,Veg,5.0,19,Balanced
Low,Vegan,6.5,51,Balanced
High,Veg,8.8,52,Balanced
Low,Non-Veg,5.7,54,Low Carb
Medium,Non-Veg,6.2,42,Mediterranean
Medium,Vegan,7.3,65,Balanced
High,Veg,4.5,32,Balanced
Medium,Veg,7.4,29,Balanced
Medium,Veg,4.7,26,Balanced
Medium,Non-Veg,7.9,48,Mediterranean
Low,Veg,5.8,31,Balanced
Low,Vegan,5.6,46,Balanced
Medium,Non-Veg,7.4,65,Mediterranean
High,Non-Veg,8.2,60,Balanced
Low,Veg,7.6,55,Balanced
High,Vegan,7.3,59,High Protein
Medium,Non-Veg,7.3,25,Mediterranean
Medium,Non-Veg,7.6,65,Mediterranean
Low,Veg,7.7,20,Balanced
Medium,Veg,6.4,19,Balanced
Low,Vegan,8.0,33,Balanced
Medium,Veg,5.8,36,Balanced
Medium,Vegan,8.6,47,Balanced
Low,Non-Veg,8.2,58,Low Carb
Low,Vegan,10.0,33,Balanced
Low,Vegan,7.8,48,Balanced
